"name","run.no.in.std.order","run.no","run.no.std.rp","version","threads","Blocks","time"
"400","1",400,"1.12","base","1",".12",""
"401","27",401,"27.12","critical","20",".12",""
"402","18",402,"18.12","false_sharing","8",".12",""
"403","12",403,"12.12","critical","4",".12",""
"404","22",404,"22.12","critical","10",".12",""
"405","10",405,"10.12","seq","2",".12",""
"406","33",406,"33.12","false_sharing","40",".12",""
"407","20",407,"20.12","seq","8",".12",""
"408","32",408,"32.12","critical","40",".12",""
"409","2",409,"2.12","critical","1",".12",""
"410","5",410,"5.12","seq","1",".12",""
"411","28",411,"28.12","false_sharing","20",".12",""
"412","13",412,"13.12","false_sharing","4",".12",""
"413","29",413,"29.12","reduction","20",".12",""
"414","21",414,"21.12","base","10",".12",""
"415","7",415,"7.12","critical","2",".12",""
"416","34",416,"34.12","reduction","40",".12",""
"417","25",417,"25.12","seq","10",".12",""
"418","31",418,"31.12","base","40",".12",""
"419","24",419,"24.12","reduction","10",".12",""
"420","16",420,"16.12","base","8",".12",""
"421","14",421,"14.13","reduction","4",".13",""
"422","16",422,"16.13","base","8",".13",""
"423","29",423,"29.13","reduction","20",".13",""
"424","6",424,"6.13","base","2",".13",""
"425","15",425,"15.13","seq","4",".13",""
"426","35",426,"35.13","seq","40",".13",""
"427","3",427,"3.13","false_sharing","1",".13",""
"428","23",428,"23.13","false_sharing","10",".13",""
"429","19",429,"19.13","reduction","8",".13",""
"430","21",430,"21.13","base","10",".13",""
"431","34",431,"34.13","reduction","40",".13",""
"432","32",432,"32.13","critical","40",".13",""
"433","25",433,"25.13","seq","10",".13",""
"434","5",434,"5.13","seq","1",".13",""
"435","4",435,"4.13","reduction","1",".13",""
"436","12",436,"12.13","critical","4",".13",""
"437","31",437,"31.13","base","40",".13",""
"438","11",438,"11.13","base","4",".13",""
"439","10",439,"10.13","seq","2",".13",""
"440","2",440,"2.13","critical","1",".13",""
"441","1",441,"1.13","base","1",".13",""
"442","13",442,"13.13","false_sharing","4",".13",""
"443","22",443,"22.13","critical","10",".13",""
"444","7",444,"7.13","critical","2",".13",""
"445","18",445,"18.13","false_sharing","8",".13",""
"446","27",446,"27.13","critical","20",".13",""
"447","24",447,"24.13","reduction","10",".13",""
"448","9",448,"9.13","reduction","2",".13",""
"449","17",449,"17.13","critical","8",".13",""
"450","26",450,"26.13","base","20",".13",""
"451","28",451,"28.13","false_sharing","20",".13",""
"452","33",452,"33.13","false_sharing","40",".13",""
"453","30",453,"30.13","seq","20",".13",""
"454","8",454,"8.13","false_sharing","2",".13",""
"455","20",455,"20.13","seq","8",".13",""
"456","10",456,"10.14","seq","2",".14",""
"457","23",457,"23.14","false_sharing","10",".14",""
"458","18",458,"18.14","false_sharing","8",".14",""
"459","3",459,"3.14","false_sharing","1",".14",""
"460","4",460,"4.14","reduction","1",".14",""
"461","26",461,"26.14","base","20",".14",""
"462","20",462,"20.14","seq","8",".14",""
"463","9",463,"9.14","reduction","2",".14",""
"464","30",464,"30.14","seq","20",".14",""
"465","2",465,"2.14","critical","1",".14",""
"466","8",466,"8.14","false_sharing","2",".14",""
"467","28",467,"28.14","false_sharing","20",".14",""
"468","33",468,"33.14","false_sharing","40",".14",""
"469","34",469,"34.14","reduction","40",".14",""
"470","7",470,"7.14","critical","2",".14",""
"471","31",471,"31.14","base","40",".14",""
"472","12",472,"12.14","critical","4",".14",""
"473","22",473,"22.14","critical","10",".14",""
"474","13",474,"13.14","false_sharing","4",".14",""
"475","29",475,"29.14","reduction","20",".14",""
"476","19",476,"19.14","reduction","8",".14",""
"477","24",477,"24.14","reduction","10",".14",""
"478","32",478,"32.14","critical","40",".14",""
"479","11",479,"11.14","base","4",".14",""
