app,threads,metric,value,machine
critical,2,time,1.002134,draco1
false_sharing,2,time,1.657216,draco1
reduction,2,time,1.096142,draco1
seq,2,time,1.933049,draco1
base,4,time,2.053538,draco1
critical,4,time,0.522511,draco1
false_sharing,4,time,0.925416,draco1
reduction,4,time,0.374565,draco1
seq,4,time,1.932040,draco1
base,8,time,1.419320,draco1
critical,8,time,0.263386,draco1
false_sharing,8,time,0.489250,draco1
reduction,8,time,0.179926,draco1
seq,8,time,1.932077,draco1
base,1,time,1.922674,draco1
critical,1,time,1.923210,draco1
false_sharing,1,time,1.922377,draco1
reduction,1,time,0.067126,draco1
seq,1,time,1.931826,draco1
base,2,time,1.494977,draco1
critical,2,time,1.003038,draco1
false_sharing,2,time,1.725385,draco1
reduction,2,time,1.094542,draco1
seq,2,time,1.932251,draco1
base,4,time,1.039388,draco1
critical,4,time,0.522516,draco1
false_sharing,4,time,1.024470,draco1
reduction,4,time,0.378374,draco1
seq,4,time,1.932148,draco1
base,8,time,1.294800,draco1
critical,8,time,0.264850,draco1
false_sharing,8,time,0.263009,draco1
reduction,8,time,0.203715,draco1
seq,8,time,1.931365,draco1
base,1,time,1.923454,draco1
critical,1,time,1.922290,draco1
false_sharing,1,time,1.923891,draco1
reduction,1,time,0.067134,draco1
seq,1,time,1.931191,draco1
base,2,time,1.825347,draco1
critical,2,time,1.002713,draco1
false_sharing,2,time,1.668838,draco1
reduction,2,time,1.079232,draco1
seq,2,time,1.933347,draco1
base,4,time,0.750141,draco1
critical,4,time,0.522458,draco1
false_sharing,4,time,0.988059,draco1
reduction,4,time,0.378090,draco1
seq,4,time,1.931897,draco1
base,8,time,1.353569,draco1
critical,8,time,0.261451,draco1
false_sharing,8,time,0.261446,draco1
reduction,8,time,0.195566,draco1
seq,8,time,1.932408,draco1
base,1,time,1.922952,draco1
critical,1,time,1.923556,draco1
false_sharing,1,time,1.922607,draco1
reduction,1,time,0.067123,draco1
seq,1,time,1.932122,draco1
base,2,time,1.900585,draco1
critical,2,time,1.003033,draco1
false_sharing,2,time,1.661526,draco1
reduction,2,time,1.071598,draco1
seq,2,time,1.931832,draco1
base,4,time,1.646221,draco1
critical,4,time,0.522547,draco1
false_sharing,4,time,0.876153,draco1
reduction,4,time,0.378051,draco1
seq,4,time,1.931364,draco1
base,8,time,1.076413,draco1
critical,8,time,0.261468,draco1
false_sharing,8,time,0.522404,draco1
reduction,8,time,0.185081,draco1
seq,8,time,1.931632,draco1
base,1,time,1.923836,draco1
critical,1,time,1.922904,draco1
false_sharing,1,time,1.923675,draco1
reduction,1,time,0.067188,draco1
seq,1,time,1.931323,draco1
base,2,time,1.734255,draco1
critical,2,time,1.001982,draco1
false_sharing,2,time,1.489978,draco1
reduction,2,time,1.093508,draco1
seq,2,time,1.931338,draco1
base,4,time,1.323805,draco1
critical,4,time,0.522461,draco1
false_sharing,4,time,0.522437,draco1
reduction,4,time,0.378687,draco1
seq,4,time,1.932660,draco1
base,8,time,1.043883,draco1
critical,8,time,0.262053,draco1
false_sharing,8,time,0.263234,draco1
reduction,8,time,0.196260,draco1
seq,8,time,1.932973,draco1
base,1,time,1.924050,draco1
critical,1,time,1.922895,draco1
false_sharing,1,time,1.923282,draco1
reduction,1,time,0.067115,draco1
seq,1,time,1.932191,draco1
base,2,time,1.892239,draco1
critical,2,time,1.002540,draco1
false_sharing,2,time,1.734563,draco1
reduction,2,time,1.074488,draco1
seq,2,time,1.931757,draco1
base,4,time,1.831891,draco1
critical,4,time,0.522408,draco1
false_sharing,4,time,1.014901,draco1
reduction,4,time,0.379783,draco1
seq,4,time,1.931449,draco1
base,8,time,0.933112,draco1
critical,8,time,0.261821,draco1
false_sharing,8,time,0.477164,draco1
reduction,8,time,0.184800,draco1
seq,8,time,1.931347,draco1
base,1,time,2.023832,draco1
critical,1,time,2.088415,draco1
false_sharing,1,time,1.924793,draco1
reduction,1,time,0.067141,draco1
seq,1,time,1.932138,draco1
base,2,time,1.516767,draco1
critical,2,time,1.002359,draco1
false_sharing,2,time,1.002849,draco1
reduction,2,time,1.072131,draco1
seq,2,time,1.930964,draco1
base,4,time,2.086073,draco1
critical,4,time,0.522471,draco1
false_sharing,4,time,0.877285,draco1
reduction,4,time,0.382276,draco1
seq,4,time,1.931536,draco1
base,8,time,0.706770,draco1
critical,8,time,0.261945,draco1
false_sharing,8,time,0.484986,draco1
reduction,8,time,0.203763,draco1
seq,8,time,1.931243,draco1
base,1,time,1.923324,draco1
critical,1,time,1.923749,draco1
false_sharing,1,time,1.923342,draco1
reduction,1,time,0.067187,draco1
seq,1,time,1.932498,draco1
base,2,time,1.836104,draco1
critical,2,time,1.002796,draco1
false_sharing,2,time,1.742331,draco1
reduction,2,time,1.071416,draco1
seq,2,time,1.932409,draco1
base,4,time,2.164080,draco1
critical,4,time,0.522439,draco1
false_sharing,4,time,0.911678,draco1
reduction,4,time,0.375203,draco1
seq,4,time,1.932304,draco1
base,8,time,1.736725,draco1
critical,8,time,0.263381,draco1
false_sharing,8,time,0.475102,draco1
reduction,8,time,0.182431,draco1
seq,8,time,1.932422,draco1
base,1,time,1.922956,draco1
critical,1,time,1.922504,draco1
false_sharing,1,time,1.923430,draco1
reduction,1,time,0.067140,draco1
seq,1,time,1.932118,draco1
base,2,time,1.589052,draco1
critical,2,time,1.036081,draco1
false_sharing,2,time,1.672458,draco1
reduction,2,time,1.084171,draco1
seq,2,time,1.931266,draco1
base,4,time,2.125712,draco1
critical,4,time,0.522500,draco1
false_sharing,4,time,0.932881,draco1
reduction,4,time,0.378197,draco1
seq,4,time,1.931824,draco1
base,8,time,1.447334,draco1
critical,8,time,0.261458,draco1
false_sharing,8,time,0.537598,draco1
reduction,8,time,0.177072,draco1
seq,8,time,1.932073,draco1
base,1,time,1.924092,draco1
critical,1,time,1.923025,draco1
false_sharing,1,time,1.924058,draco1
reduction,1,time,0.067091,draco1
seq,1,time,1.936482,draco1
base,2,time,1.756601,draco1
critical,2,time,1.002923,draco1
false_sharing,2,time,1.002399,draco1
reduction,2,time,1.077663,draco1
seq,2,time,1.931503,draco1
base,4,time,1.736517,draco1
critical,4,time,0.522392,draco1
false_sharing,4,time,0.985743,draco1
reduction,4,time,0.376530,draco1
seq,4,time,1.932622,draco1
base,8,time,1.149250,draco1
critical,8,time,0.261827,draco1
false_sharing,8,time,0.482062,draco1
reduction,8,time,0.180187,draco1
seq,8,time,1.931917,draco1
base,1,time,1.922513,draco1
critical,1,time,1.923349,draco1
false_sharing,1,time,1.922847,draco1
reduction,1,time,0.067151,draco1
seq,1,time,1.931444,draco1
base,2,time,1.113790,draco1
critical,2,time,1.002130,draco1
false_sharing,2,time,1.465840,draco1
reduction,2,time,1.070462,draco1
seq,2,time,1.972577,draco1
base,4,time,2.106647,draco1
critical,4,time,0.522474,draco1
false_sharing,4,time,0.897582,draco1
reduction,4,time,0.378212,draco1
seq,4,time,1.931509,draco1
base,8,time,1.773865,draco1
critical,8,time,0.261433,draco1
false_sharing,8,time,0.261909,draco1
reduction,8,time,0.188161,draco1
seq,8,time,1.931013,draco1
base,1,time,1.923178,draco1
critical,1,time,1.922738,draco1
