app,threads,metric,value,machine
seq,10,time,1.615849,hype2
base,1,time,1.611511,hype2
critical,1,time,1.610398,hype2
false_sharing,1,time,1.610964,hype2
reduction,1,time,0.049423,hype2
seq,1,time,1.616663,hype2
base,2,time,1.981087,hype2
critical,2,time,0.839391,hype2
false_sharing,2,time,1.349763,hype2
reduction,2,time,0.049086,hype2
seq,2,time,1.614013,hype2
base,4,time,1.490576,hype2
critical,4,time,0.423997,hype2
false_sharing,4,time,0.419957,hype2
reduction,4,time,0.049027,hype2
seq,4,time,1.611974,hype2
base,8,time,0.613529,hype2
critical,8,time,0.234430,hype2
false_sharing,8,time,0.486653,hype2
reduction,8,time,0.049207,hype2
seq,8,time,1.614929,hype2
base,10,time,0.830536,hype2
critical,10,time,0.193178,hype2
false_sharing,10,time,0.399264,hype2
reduction,10,time,0.051213,hype2
seq,10,time,1.613806,hype2
base,1,time,1.611446,hype2
critical,1,time,1.611451,hype2
false_sharing,1,time,1.609798,hype2
reduction,1,time,0.049352,hype2
seq,1,time,1.617351,hype2
base,2,time,1.984560,hype2
critical,2,time,0.839620,hype2
false_sharing,2,time,1.351104,hype2
reduction,2,time,0.049463,hype2
seq,2,time,1.614571,hype2
base,4,time,1.369104,hype2
critical,4,time,0.423261,hype2
false_sharing,4,time,0.417469,hype2
reduction,4,time,0.049136,hype2
seq,4,time,1.648325,hype2
base,8,time,0.681229,hype2
critical,8,time,0.234557,hype2
false_sharing,8,time,0.479685,hype2
reduction,8,time,0.049418,hype2
seq,8,time,1.660109,hype2
base,10,time,0.463008,hype2
critical,10,time,0.193487,hype2
false_sharing,10,time,0.412829,hype2
reduction,10,time,0.049087,hype2
seq,10,time,1.633857,hype2
base,1,time,1.611605,hype2
critical,1,time,1.610287,hype2
false_sharing,1,time,1.610560,hype2
reduction,1,time,0.049186,hype2
seq,1,time,1.636594,hype2
base,2,time,1.988140,hype2
critical,2,time,0.838142,hype2
false_sharing,2,time,1.351594,hype2
reduction,2,time,0.049318,hype2
seq,2,time,1.624737,hype2
base,4,time,1.718639,hype2
critical,4,time,0.424587,hype2
false_sharing,4,time,0.759749,hype2
reduction,4,time,0.049307,hype2
seq,4,time,1.623509,hype2
base,8,time,0.542560,hype2
critical,8,time,0.234112,hype2
false_sharing,8,time,0.504502,hype2
reduction,8,time,0.049212,hype2
seq,8,time,1.618666,hype2
base,10,time,1.252128,hype2
critical,10,time,0.193490,hype2
false_sharing,10,time,0.401774,hype2
reduction,10,time,0.049168,hype2
seq,10,time,1.617642,hype2
base,1,time,1.610707,hype2
