app,threads,metric,value,machine
reduction,2,time,0.107462,tupi2
seq,2,time,1.272300,tupi2
base,4,time,1.177197,tupi2
critical,4,time,0.336799,tupi2
false_sharing,4,time,0.763470,tupi2
reduction,4,time,0.107463,tupi2
seq,4,time,1.271820,tupi2
base,8,time,0.757727,tupi2
critical,8,time,0.188010,tupi2
false_sharing,8,time,0.187378,tupi2
reduction,8,time,0.107547,tupi2
seq,8,time,1.272212,tupi2
base,1,time,1.270326,tupi2
critical,1,time,1.269625,tupi2
false_sharing,1,time,1.269643,tupi2
reduction,1,time,0.107463,tupi2
seq,1,time,1.272437,tupi2
base,2,time,0.665322,tupi2
critical,2,time,0.654784,tupi2
false_sharing,2,time,0.662421,tupi2
reduction,2,time,0.107744,tupi2
seq,2,time,1.272402,tupi2
base,4,time,1.533825,tupi2
critical,4,time,0.336999,tupi2
false_sharing,4,time,0.335262,tupi2
reduction,4,time,0.107424,tupi2
seq,4,time,1.272629,tupi2
base,8,time,0.578505,tupi2
critical,8,time,0.186969,tupi2
false_sharing,8,time,0.471127,tupi2
reduction,8,time,0.107420,tupi2
seq,8,time,1.272140,tupi2
base,1,time,1.270031,tupi2
critical,1,time,1.269489,tupi2
false_sharing,1,time,1.269890,tupi2
reduction,1,time,0.107435,tupi2
seq,1,time,1.272458,tupi2
base,2,time,1.756982,tupi2
critical,2,time,0.652643,tupi2
false_sharing,2,time,1.080694,tupi2
reduction,2,time,0.107474,tupi2
seq,2,time,1.271654,tupi2
base,4,time,0.520106,tupi2
critical,4,time,0.336487,tupi2
false_sharing,4,time,0.338044,tupi2
reduction,4,time,0.107436,tupi2
seq,4,time,1.271697,tupi2
base,8,time,1.130192,tupi2
critical,8,time,0.187729,tupi2
false_sharing,8,time,0.460694,tupi2
reduction,8,time,0.107457,tupi2
seq,8,time,1.272405,tupi2
base,1,time,1.269406,tupi2
critical,1,time,1.270914,tupi2
false_sharing,1,time,1.270047,tupi2
reduction,1,time,0.107476,tupi2
seq,1,time,1.272086,tupi2
base,2,time,1.756813,tupi2
critical,2,time,0.654224,tupi2
false_sharing,2,time,1.045223,tupi2
reduction,2,time,0.107481,tupi2
seq,2,time,1.271973,tupi2
base,4,time,1.531751,tupi2
critical,4,time,0.336633,tupi2
false_sharing,4,time,0.773929,tupi2
reduction,4,time,0.107453,tupi2
seq,4,time,1.272401,tupi2
base,8,time,0.582538,tupi2
critical,8,time,0.187794,tupi2
false_sharing,8,time,0.448245,tupi2
reduction,8,time,0.107487,tupi2
seq,8,time,1.272215,tupi2
base,1,time,1.269763,tupi2
critical,1,time,1.270165,tupi2
false_sharing,1,time,1.269441,tupi2
reduction,1,time,0.107460,tupi2
seq,1,time,1.272090,tupi2
base,2,time,1.757867,tupi2
critical,2,time,0.653536,tupi2
false_sharing,2,time,1.080548,tupi2
reduction,2,time,0.107507,tupi2
seq,2,time,1.273022,tupi2
base,4,time,0.522558,tupi2
critical,4,time,0.337911,tupi2
false_sharing,4,time,0.734577,tupi2
reduction,4,time,0.107486,tupi2
seq,4,time,1.272314,tupi2
base,8,time,1.456417,tupi2
critical,8,time,0.188290,tupi2
false_sharing,8,time,0.448120,tupi2
reduction,8,time,0.107468,tupi2
seq,8,time,1.271855,tupi2
base,1,time,1.269049,tupi2
critical,1,time,1.269939,tupi2
false_sharing,1,time,1.270531,tupi2
reduction,1,time,0.107453,tupi2
seq,1,time,1.272045,tupi2
base,2,time,0.676979,tupi2
critical,2,time,0.664108,tupi2
false_sharing,2,time,1.085414,tupi2
reduction,2,time,0.107437,tupi2
seq,2,time,1.272535,tupi2
base,4,time,1.594171,tupi2
critical,4,time,0.337001,tupi2
false_sharing,4,time,0.767276,tupi2
reduction,4,time,0.107426,tupi2
seq,4,time,1.272100,tupi2
base,8,time,0.503835,tupi2
critical,8,time,0.187014,tupi2
false_sharing,8,time,0.186702,tupi2
